loc_string,Address,Latitude,Longitude
"Saint Anselm College, Manchester, NH, USA","100 St Anselm Dr, Manchester, NH 03102, USA",42.9874723,-71.5072307
"Washington State University, Pullman, WA, USA","Pullman, WA, USA",46.7319225,-117.1542121
"California Polytechnic State University, San Luis Obispo, San Luis Obispo, CA, USA","San Luis Obispo, CA 93407, USA",35.3050053,-120.6624942
"Marietta College, Marietta, OH, USA","215 5th St, Marietta, OH 45750, USA",39.4145456,-81.4491067
"Manhattan College, Riverdale, NY, USA","4513 Manhattan College Pkwy, Bronx, NY 10471, USA",40.8899623,-73.9010623
"College of Saint Benedict, Saint Joseph, MN, USA","37 College Ave S, St Joseph, MN 56374, USA",45.5603049,-94.3218942
"Widener University, Chester, PA, USA","One University Pl, Chester, PA 19013, USA",39.8633562,-75.3566753
"The College of New Jersey, Ewing, NJ, USA","2000 Pennington Rd, Ewing Township, NJ 08628, USA",40.2691421,-74.7774394
"Lewis & Clark College, Portland, OR, USA","Lewis County, WA, USA",46.6195461,-122.4554639
"Gonzalo University, Spokane, WA, USA",,,
"Wheaton College (Illinois), Wheaton, IL, USA","501 College Ave, Wheaton, IL 60187, USA",41.86833,-88.099622
"Austin College, Sherman, TX, USA","900 N. Grand Ave, Sherman, TX 75090, United States",33.64626,-96.594854
"Providence College, Providence, RI, USA","1 Cunningham Square, Providence, RI 02918, USA",41.8440925,-71.4381653
"Clark University, Worcester, MA, USA","950 Main St, Worcester, MA 01610, USA",42.2523452,-71.8246703
"University of Colorado Denver, Denver, CO, USA","1201 Larimer St, Denver, CO 80204, USA",39.7463895,-105.0023325
"Hope College, Holland, MI, USA","141 E 12th St, Holland, MI 49423, USA",42.7871797,-86.1023574
"Luther College, Decorah, IA, USA","700 College Dr, Decorah, IA 52101, USA",43.311063,-91.8062533
"Elizabethtown College, Elizabethtown, PA, USA","1 Alpha Dr, Elizabethtown, PA 17022, USA",40.1503251,-76.589792
"Hanover College, Hanover, IN, USA","484 Ball Dr, Hanover, IN 47243, USA",38.7192502,-85.4623681
"Augustana College (Illinois), Rock Island, IL, USA","639 38th St, Rock Island, IL 61201, USA",41.5051053,-90.5507098
"Albion College, Albion, MI, USA","611 E Porter St, Albion, MI 49224, USA",42.2440064,-84.7451775
"University of Vermont, Burlington, VT, USA","Burlington, VT 05405, USA",44.4778528,-73.1964637
"Westminster College (Pennsylvania), New Wilmington, PA, USA","319 S Market St, New Wilmington, PA 16172, USA",41.119859,-80.332286
"Duquesne University, Pittsburgh, PA, USA","600 Forbes Ave, Pittsburgh, PA 15282, USA",40.4372949,-79.9901728
